,accuracy,f1_score,precision,recall,fold
0,0.62375,0.4801770592763664,0.3903316645807259,0.62375,1.0
1,0.6725,0.5450893667211033,0.5366206030150754,0.6725,2.0
2,0.24125,0.1155967626786645,0.8264612452350698,0.24125,3.0
3,0.5175,0.514111839838636,0.5338795186985109,0.5175,4.0
4,0.56375,0.49432047109871374,0.48039568345323735,0.56375,5.0
5,0.50625,0.498925853518451,0.514663047024281,0.50625,6.0
6,0.62,0.5622873539659766,0.5819499341238472,0.62,7.0
7,0.68375,0.6556975957759609,0.6343281034638225,0.68375,8.0
8,0.7025,0.6245995423340961,0.61061872909699,0.7025,9.0
9,0.575,0.4448504569863793,0.5444587628865979,0.575,10.0
10,0.54625,0.5463060098531404,0.5571189242738785,0.54625,11.0
11,0.69625,0.7362206468763846,0.7924318507890961,0.69625,12.0
12,0.87375,0.816044029352902,0.765488110137672,0.87375,13.0
13,0.67375,0.543427931292009,0.4553504380475594,0.67375,14.0
14,0.585,0.5420149317772248,0.5865026278069757,0.585,15.0
15,0.5075,0.36594275782714697,0.5701098387473709,0.5075,16.0
16,0.64375,0.5477828054298642,0.5817144959529066,0.64375,17.0
17,0.575,0.5770234526538529,0.5792103424178895,0.575,18.0
18,0.5525,0.565801670783492,0.5862316545243376,0.5525,19.0
19,0.8225,0.7830555555555556,0.7596052631578948,0.8225,20.0
20,0.7925,0.7096435222133546,0.6643939393939394,0.7925,21.0
21,0.72375,0.6177397367172146,0.6492449782272791,0.72375,22.0
mean,0.6226704545454547,0.5584845160239315,0.600050443411589,0.6226704545454547,11.5
std,0.12909722345712493,0.14330399174828976,0.10685154395233708,0.12909722345712493,6.34428877022476
